DATES,MIN,MAX,HUMIDITY,RAINFALL,DENGUE
"January, 2008",12.99392857,25.05953917,78.82488479,22.63,0
"February, 2008",13.65828571,26.38344828,72.60295567,12.54,0
"March, 2008",20.41125,31.3675576,76.90322581,38.84,0
"April, 2008",22.7718894,34.03161905,73.94380952,101.17,0
"May, 2008",23.945625,34.17105991,77.36036866,206.35,0
"June, 2008",24.959447,31.76411765,85.68285714,477.06,0
"July, 2008",25.06955357,31.13317972,88.05714286,588.58,160
"August, 2008",25.27821429,31.65797235,86.81013825,311.88,473
"September, 2008",25.07539171,32.36742857,85.1552381,235.86,334
"October, 2008",22.945,31.54626728,83.88202765,160.93,184
"November, 2008",18.12700461,29.91931373,78.74761905,6.54,0
"December, 2008",15.92123162,26.38986175,83.57050691,2.27,0
"January, 2009",13.41866071,26.1962212,79.56313364,0.66,0
"February, 2009",15.09026369,29.64989796,70.27755102,16.09,0
"March, 2009",19.58115809,32.60894009,70.32165899,26.22,0
"April, 2009",23.82476281,34.40704762,75.20571429,199.44,0
"May, 2009",24.18929924,33.82110599,78.28387097,209.84,1
"June, 2009",25.49051233,33.83568627,81.62952381,224.58,0
"July, 2009",25.46231618,31.91470588,86.42857143,558.31,4
"August, 2009",25.41424632,31.98548387,87.54470046,317.72,125
"September, 2009",25.28301708,32.64342857,85.2247619,298.65,188
"October, 2009",22.87955357,32.10672811,82.44331797,171.9,154
"November, 2009",19.03235294,30.1795098,78.3647619,49.81,0
"December, 2009",13.73258929,26.41024668,79.2764977,3.71,0
"January, 2010",11.34116071,24.54921659,78.66175115,0.02,0
"February, 2010",14.6453202,29.09346939,69.7622449,4.32,0
"March, 2010",21.25794643,33.55115207,70.23686636,99,0
"April, 2010",24.83474654,34.34885714,76.37619048,283.17,0
"May, 2010",24.63535714,33.721537,79.58064516,274.78,0
"June, 2010",25.29907834,32.50466667,86.23809524,451.16,0
"July, 2010",25.838125,32.49271889,84.87834101,358.16,61
"August, 2010",25.77526786,32.8037788,84.88940092,293.92,183
"September, 2010",25.29447005,32.40504762,85.84380952,349.92,120
"October, 2010",24.03258929,32.32571429,83.84516129,207.22,45
"November, 2010",19.83603687,30.47085714,80.13238095,8.99,1
"December, 2010",14.07357143,26.39465438,78.19631336,17.49,0
"January, 2011",10.98973214,24.17133641,77.13732719,4.7,0
"February, 2011",14.8270936,28.83010204,70.63877551,20.09,0
"March, 2011",19.17482143,31.87640553,70.27834101,23.15,0
"April, 2011",22.05926267,33.1307619,75.64761905,89.82,0
"May, 2011",23.8125,33.16092166,80.97788018,258.97,0
"June, 2011",25.23806452,32.37914286,85.43142857,626.28,61
"July, 2011",25.44160714,32.06986175,85.2202765,414.58,255
"August, 2011",25.24892857,31.3324424,87.47096774,1012.02,691
"September, 2011",25.200553,31.98857143,86.18,275.26,193
"October, 2011",23.68303571,32.78626728,81.85806452,52.38,114
"November, 2011",17.9237788,29.89628571,78.78285714,19.9,36
"December, 2011",14.305625,25.54847926,81.91555977,0.95,9
"January, 2012",12.77383929,24.64373814,77.35852535,17.76,0
"February, 2012",14.02771429,28.99990148,67.78226601,2.9,0
"March, 2012",19.93303571,32.49797235,70.77880184,49.19,0
"April, 2012",22.53271889,33.19504762,76.77047619,204.68,0
"May, 2012",24.71169643,34.57714286,77.57695853,237.96,0
"June, 2012",25.59751152,33.01809524,84.18380952,283.55,10
"July, 2012",25.508125,31.82368664,87.14285714,494.22,129
"August, 2012",25.56089286,32.35721063,85.66267281,388.25,122
"September, 2012",25.41917051,32.44028571,85.92761905,245.32,246
"October, 2012",22.80098214,32.00221198,82.77880184,166.98,107
"November, 2012",18.19465438,29.1504902,79.2152381,21.35,27
"December, 2012",13.27352941,24.69174573,83.15370019,16.99,0
"January, 2013",10.59794643,24.75705069,76.19262673,1.14,6
"February, 2013",14.73762677,29.17918367,69.65714286,11.6,7
"March, 2013",19.54926471,32.97640553,69.94193548,9.01,3
"April, 2013",22.7827957,33.90232323,73.16363636,115.73,3
"May, 2013",23.84705357,31.71345622,83.8516129,307.16,12
"June, 2013",25.70294931,33.20794118,83.42190476,357.4,50
"July, 2013",25.62991071,32.3081106,84.90230415,473.36,172
"August, 2013",25.35018382,31.90151803,86.59907834,395.81,339
"September, 2013",25.25520737,32.55676471,85.57428571,234.52,385
"October, 2013",23.49016544,31.13880184,85.76682028,254.76,501
"November, 2013",17.54193548,30.07047619,77.6952381,0,218
"December, 2013",14.31672794,26.49852535,79.82764977,0.58,53
"January, 2014",12.12784926,24.82940092,79.98156682,0.12,15
"February, 2014",14.18275862,27.2794898,74.07755102,32.38,7
"March, 2014",18.60284926,32.05880184,68.09308756,11.89,2
"April, 2014",23.28857143,35.76933333,69.26761905,53.53,0
"May, 2014",24.98392857,34.83953917,76.4359447,179.55,8
"June, 2014",25.45797235,32.93057143,84.90380952,372.44,9
"July, 2014",25.83517857,32.58516129,84.74101382,403.48,82
"August, 2014",25.46732143,31.96682028,86.99078341,481.27,80
"September, 2014",25.10912442,32.41514286,84.93714286,330.75,76
"October, 2014",23.068125,32.3898482,81.78709677,57.44,63
"November, 2014",18.13917051,30.44695238,78.46571429,0.23,22
"December, 2014",14.105,25.98036866,82.17695853,0.3,11
"January, 2015",13.22095588,25.3272296,79.61480076,8.76,0
"February, 2015",15.10456389,28.66302521,74.79621849,24.17,0
"March, 2015",18.60419643,32.29778802,67.5483871,21.25,2
"April, 2015",22.219447,32.58657143,77.82857143,198.79,6
"May, 2015",24.62080357,34.07170507,78.93917051,167.22,10
"June, 2015",25.44516129,32.56295238,84.28761905,450.41,28
"July, 2015",25.14955357,31.49290323,87.64239631,715.22,171
"August, 2015",25.64107143,32.15723502,86.49400922,512.13,765
"September, 2015",25.30516129,32.842,84.79047619,353.87,965
"October, 2015",23.33491071,32.33483871,82.62949309,81.6,869
"November, 2015",18.94903226,30.3207619,80.0552381,4.61,271
"December, 2015",15.02508929,26.06082949,80.35023041,5.98,75
"January, 2016",12.37,25.19917051,79.86820276,0.25,13
"February, 2016",17.4592381,29.57418719,76.97241379,9.12,3
"March, 2016",20.83892857,32.87428571,73.68940092,88.76,17
"April, 2016",24.87714286,34.328,76.59047619,289.03,38
"May, 2016",24.0475,33.579447,79.41013825,192.24,70
"June, 2016",25.46304147,33.22561905,82.17142857,333.6,254
"July, 2016",25.44455357,31.75041475,87.25069124,711.19,926
"August, 2016",25.635625,32.68073733,84.23133641,489.32,1451
"September, 2016",25.44248848,32.84733333,85.2952381,306.36,1544
"October, 2016",24.04321429,32.66543779,83.24608295,287.47,1077
"November, 2016",18.76368664,29.75666667,80.58761905,13.4,522
"December, 2016",15.45232143,27.73308756,80.92442396,23.12,145
"January, 2017",12.52008929,26.67105991,75.38156682,2.11,92
"February, 2017",15.40206897,29.66734694,71.10306122,11.66,58
"March, 2017",18.989375,30.35235023,75.28202765,20.52,36
"April, 2017",22.92599078,32.51904762,78.76095238,199.81,73
"May, 2017",24.68669643,34.23013825,78.48940092,251.67,134
"June, 2017",25.27922201,32.95485714,84.06952381,323.98,267
"July, 2017",25.46526786,31.64092166,87.45069124,474.83,286
"August, 2017",25.73982143,32.55640553,85.80829493,254.56,346
"September, 2017",25.51603687,32.77180952,86.3352381,166.69,430
"October, 2017",23.93580357,31.70211982,84.71059908,102.53,512
"November, 2017",19.08101382,30.25704762,79.24761905,3.19,409
"December, 2017",15.77607143,27.08102467,82.70414747,11.6,126
"January, 2018",11.00825206,23.52267567,88.38407102,1.56,26
"February, 2018",16.05290698,28.72025963,79.56395349,38.9,7
"March, 2018",20.41477869,32.39107277,74.15011511,55.29,19
"April, 2018",22.38596365,32.54735659,74.20029404,146.04,29
"May, 2018",23.84955239,32.01730433,78.58092737,184.79,52
"June, 2018",25.91903826,28.0627907,82.31617809,237.69,295
"July, 2018",26.36736684,32.1605964,84.50940235,520.91,946
"August, 2018",26.48582146,32.99842226,82.82406809,293.1,1796
"September, 2018",26.0527907,33.24901809,81.18692863,312.91,3087
"October, 2018",22.64686646,31.37842961,80.26309077,200.14,2406
"November, 2018",17.92813953,29.997776,77.34087308,32.67,1192
"December, 2018",13.58079166,26.10402191,79.0038995,5.12,293
"January, 2019",12.06204051,26.74103526,77.99024756,20.16,38
"February, 2019",15.06037898,27.98712009,77.54675772,4.85,18
"March, 2019",19.69596765,32.41539431,71.55945191,25.74,17
"April, 2019",23.17767983,33.68545548,75.58865,155.36,58
"May, 2019",24.2141296,33.30918934,79.24085868,298.87,193
"June, 2019",25.3063705,32.40537606,84.00008911,398.6,1884
"July, 2019",25.4616173,31.58883255,86.30942764,548.29,16253
"August, 2019",25.49986752,31.86577174,85.84201601,407.13,52636
"September, 2019",25.23215011,32.18350512,85.07837445,366.79,16856
"October, 2019",23.23092461,31.73226923,83.09497398,230.03,8143
"November, 2019",18.58490902,29.93056818,79.06869425,20.01,4011
"December, 2019",14.49385637,26.14201293,80.88917451,0.69,1247
"January, 2020",11.93040489,24.7079102,79.39124972,9.211252775,199
"February, 2020",14.9749097,28.91762128,73.39777549,17.34390928,45
"March, 2020",19.69596765,32.41539431,71.55945191,41.92748703,27
"April, 2020",23.17767983,33.68545548,75.58865,177.3608056,25
"May, 2020",24.2141296,33.30918934,79.24085868,236.4044321,10
"June, 2020",25.3063705,32.40537606,84.00008911,371.6415913,20
"July, 2020",25.4616173,31.58883255,86.30942764,530.9240959,23
"August, 2020",25.49986752,31.86577174,85.84201601,397.5749356,68
"September, 2020",25.23215011,32.18350512,85.07837445,298.6281676,47
"October, 2020",23.23092461,31.73226923,83.09497398,176.9332494,164
"November, 2020",18.58490902,29.93056818,79.06869425,19.76189514,546
"December, 2020",14.49385637,26.14201293,80.88917451,10.36588142,231
"January, 2021",11.93040489,24.7079102,79.39124972,9.211252775,32
"February, 2021",14.9749097,28.91762128,73.39777549,17.34390928,9
"March, 2021",19.69596765,32.41539431,71.55945191,41.92748703,13
"April, 2021",23.17767983,33.68545548,75.58865,177.3608056,3
"May, 2021",24.2141296,33.30918934,79.24085868,236.4044321,43
"June, 2021",25.3063705,32.40537606,84.00008911,371.6415913,272
"July, 2021",25.4616173,31.58883255,86.30942764,530.9240959,2286
"August, 2021",25.49986752,31.86577174,85.84201601,397.5749356,7698
"September, 2021",25.23215011,32.18350512,85.07837445,298.6281676,7841
"October, 2021",23.23092461,31.73226923,83.09497398,176.9332494,5458
"November, 2021",18.58490902,29.93056818,79.06869425,19.76189514,3567
"December, 2021",14.49385637,26.14201293,80.88917451,10.36588142,1207
"January, 2022",11.93040489,24.7079102,79.39124972,9.211252775,126
"February, 2022",14.9749097,28.91762128,73.39777549,17.34390928,20
"March, 2022",19.69596765,32.41539431,71.55945191,41.92748703,20
"April, 2022",23.17767983,33.68545548,75.58865,177.3608056,23
"May, 2022",24.2141296,33.30918934,79.24085868,236.4044321,163
"June, 2022",25.3063705,32.40537606,84.00008911,371.6415913,737
"July, 2022",25.4616173,31.58883255,86.30942764,530.9240959,1571
"August, 2022",25.49986752,31.86577174,85.84201601,397.5749356,3521
"September, 2022",25.23215011,32.18350512,85.07837445,298.6281676,9911
"October, 2022",23.23092461,31.73226923,83.09497398,176.9332494,21932
"November, 2022",18.58490902,29.93056818,79.06869425,19.76189514,17583
"December, 2022",14.49385637,26.14201293,80.88917451,10.36588142,6775
"January, 2023",11.93040489,24.7079102,79.39124972,9.211252775,566
"February, 2023",14.9749097,28.91762128,73.39777549,17.34390928,166
"March, 2023",19.69596765,32.41539431,71.55945191,41.92748703,111
"April, 2023",23.17767983,33.68545548,75.58865,177.3608056,143
"May, 2023",24.2141296,33.30918934,79.24085868,236.4044321,1036
"June, 2023",25.3063705,32.40537606,84.00008911,371.6415913,5956
"July, 2023",25.4616173,31.58883255,86.30942764,530.9240959,43854
"August, 2023",25.49986752,31.86577174,85.84201601,397.5749356,71976
"September, 2023",25.23215011,32.18350512,85.07837445,298.6281676,79598
"October, 2023",23.23092461,31.73226923,83.09497398,176.9332494,67769
"November, 2023",18.58490902,29.93056818,79.06869425,19.76189514,40716
"December, 2023",14.49385637,26.14201293,80.88917451,10.36588142,9288
